博大精深,3071
博爱,2576
博识,76
占据,387
占据,1913
占领,387
卡脖子,853
卧室,696
卫士,2193
卫戍,392
危如累卵,1357
危害,223
危崖,2319
危急,14
危急,165
即使,436
即是,38
卵白,2158
卷土重来,1152
卷烟,1741
历历在目,275
历年,1275
历程,173
压倒,908
压倒元白,1663
压制,209
压力,147
压服,908
厌倦,1849
厌弃,1849
厌烦,1849
厘正,219
厚实,208
厚实,1107
厚待,1777
厚爱,749
厚道,785
原先,262
原原本本,1081
原告,1524
原因,68
原宥,1371
原故,372
原本,262
原来,262
原璧归赵,2292
原稿,1370
原野,1089
厮闹,2915
去世,11
去除,105
参与,24
参军,1995
参加,24
参差,251
参拜,545
参议,187
参预,24
友军,1801
友好,499
友爱,499
友邦,1471
双方,284
反击,223
反动,44
反客为主,2947
反对,100
反对,112
反常,76
反水,764
反目,20
反省,215
反躬自省,1696
反面,20
发冷,1496
发动,184
发动,187
发号施令,1305
发奋图强,2004
发家,2058
发射,1426
发扬光大,2736
发挥,28
发源,357
发现,48
发疯,2714
发行,1391
发财,28
发轫,357
发达,28
发迹,804
发难,2321
取悦,36
取消,105
取笑,827
取经,3082
受奖,1180
受害,1353
受教,3084
受罚,1180
受苦,1180
变动,78
变化,380
变化多端,1361
变化无常,1361
变化无穷,1361
变态,76
变换,78
变数,2071
变通,629
变量,2528
变革,78
叙述,95
叛逃,1595
口口声声,998
口岸,210
口碑载道,1983
口若悬河,822
口译,2493
口语,2298
口说无凭,2074
古书,3078
古人,1380
古代,811
古怪,1609
古玩,2921
古老,352
古董,2921
古语,3017
另眼相看,2005
另辟蹊径,2384
叨教,762
叩首,2804
只怕,34
只是,109
只管,436
召募,891
召回,667
可乐,2529
可哀,2529
可喜,2529
可怜,641
可恶,637
可憎,637
可敬,1988
可有可无,2549
可疑,15
可笑,250
可能,34
可行,88
可见一斑,1621
台端,209
叱责,414
史书,133
右手,1338
右边,1336
右迁,44
叶落归根,2209
司法,460
吃紧,165
吃饭,1237
各执己见,2043
各持己见,1618
各有千秋,1369
各样,515
各种各样,893
各自为政,2043
吆喝,1127
合作,180
合作,417
合唱,2929
合宜,164
合情合理,1591
合拢,693
合时,1422
合法,164
合流,1096
合理,76
合算,2579
合营,180
合计,1424
合谋,2634
合适,164
吊儿郎当,2386
吊祭,2138
吊问,2138
同一,132
同业,2002
同乡,338
同仇敌慨,1875
同学,1047
同居,1929
同年,712
同心协力,1591
同心合力,1591
同心合意,1215
同性,325
同意,742
同流合污,1918
同甘共苦,1281
同砚,1047
同舟共济,1281
同行,2002
同辈,1877
名不副实,998
名医,1402
名学,1556
名扬四海,2289
名胜,2760
名贵,650
名驹,1269
后世,679
后代,679
后台,467
后天,39
后悔,566
后援,2448
后来,136
后脚,1121
后记,2056
后进,1149
吐弃,430
吐露,309
向上,44
向往,749
向日,552
君主国,2064
吝啬鬼,2843
吞吃,1913
吞噬,387
吞噬,1913
吟唱,1171
否定,852
否认,852
含义,922
含冤负屈,2411
含垢忍辱,2114
含恨,2905
含糊其词,1991
含血喷人,668
含血喷人,1427
听之任之,2032
听从,629
听凭,1842
听命,1483
听天由命,821
听觉,57
听说,50
启事,68
启发,263
启碇,530
启示,182
启程,530
启航,530
启蒙,263
启迪,182
吸取,45
吸引,233
吹嘘,2463
吹奏,1567
吹法螺,1748
吹牛,1748
呆板,490
呆板,961
呆滞,490
告假,353
告急,165
告状,592
告竣,21
告辞,112
周全,146
周备,146
周密,14
周密,504
周旋,291
周游,869
周详,146
周遭,351
呱呱堕地,2452
味道,580
呼吁,243
呼噪,1127
命令,171
命令,243
命运,903
咄咄怪事,1357
咄咄逼人,600
咆哮,1291
和善,737
和平,272
和气,499
和煦,1033
和睦,499
和约,2960
和缓,139
和蔼,499
和蔼可亲,2197
和解,78
和谐,78
和谐,499
和顺,499
咒骂,401
咨询,355
咱们,422
咸水,1211
哀伤,1297
哀告,858
哀悼,1297
哀求,858
哀痛,35
哀鸿遍野,2338
品味,2317
品学兼优,2863
哄传,1669
哈腰,1323
哗然,1715
哲学,1912
唆使,187
唆使,430
唇齿相依,1281
唾弃,430
唾面自干,2114
唾骂,401
商业,538
商榷,187
啜泣,949
啼哭,949
啼饥号寒,1277
喂养,1283
善于,605
善人,1243
善始善终,1081
善意,499
善罢甘休,1991
喘息,2888
喜事,2300
喜出望外,944
喜形于色,944
喜爱,37
喜跃,742
喜闻乐见,1983
喝彩,742
喝采,742
喧哗,1127
喧嚷,1697
喧宾夺主,2947
喧赫,584
喧闹,1127
嗅觉,57
嘉会,2093
嘉许,827
嘉话,2999
嘱托,954
嘲笑,827
嘴脸,1328
器度,115
器械,268
噩梦,1327
嚎啕大哭,734
囚禁,186
囚首垢面,3056
四分五裂,652
四面八方,2050
回嘴,100
回复,484
回头,1042
回忆,710
回扣,1076
回收,122
回收,815
回旋,78
回旋,114
回来,2073
回答,484
回避,385
因由,68
因素,318
因缘,1964
因而,145
因袭,2914
团体,146
团圆,2118
团聚,2118
囤积,1195
囤积居奇,1915
囫囵吞枣,866
困兽犹斗,1174
困境,784
困惑,1400
困苦,289
困苦,740
困阻,380
